100,298.16
200,591.18
300,879.08
400,1165.42
500,1448.40
600,1732.53
700,2014.80
800,2298.84
900,2581.92
1000,2866.30
1100,3150.18
1200,3434.52
1300,3718.52
1400,4003.23
1500,4287.76
1600,4572.24
1700,4856.56
1800,5141.16
1900,5425.64
2000,5709.90
2100,5994.04
2200,6278.47
2300,6562.82
2400,6846.96
2500,7131.00
2600,7415.33
2700,7699.60
2800,7984.34
2900,8269.06
3000,8554.05
3100,8839.04
3200,9124.80
3300,9410.62
3400,9696.97
3500,9983.40
3600,10270.08
3700,10556.84
3800,10843.87
3900,11131.00
4000,11418.20
4100,11705.50
4200,11993.31
4300,12281.18
4400,12569.04
4500,12856.86
4600,13144.73
4700,13432.48
4800,13720.56
4900,14008.46
5008,14320.34
